"code","areatype","areaname","indicator","type_definition","definition_period","trend_axis","numerator","measure","upper_confidence_interval","lower_confidence_interval"
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",100,11.5,14,9.3
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",NA,5.1,28.3,0.1
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",NA,4,22.1,0.1
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",NA,3.3,18.4,0
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",44,13.1,17.6,9.5
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",62,16.2,20.8,12.4
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",221,19.6,22.4,17.1
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2015 calendar year","2015",73,11.3,14.2,8.9
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",868,16.7,17.8,15.6
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",85,26.8,33.1,21.3
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",10,10.3,19.2,4.8
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",17,14.5,23.4,8.3
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",51,18.5,24.5,13.7
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",68,11.7,14.9,9.1
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",29,9.5,13.7,6.3
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",128,14.4,17.2,12
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",NA,4,22.2,0.1
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",NA,5,28,0.1
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",NA,4.3,23.8,0.1
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",45,13.4,18,9.8
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",62,16.5,21.1,12.6
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",257,22.7,25.7,20
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2016 calendar year","2016",113,17.7,21.3,14.5
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",934,18,19.2,16.9
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",61,18.5,23.8,14.1
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",13,12.5,21.6,6.5
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",22,19.5,29.7,12.1
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",36,12.5,17.3,8.7
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",85,14.8,18.3,11.8
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",32,10.9,15.5,7.5
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",137,15.6,18.4,13.1
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",NA,5.2,28.8,0.1
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",NA,7.7,27.9,0.9
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",NA,11.2,33.1,2.2
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",66,19.4,24.7,14.9
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",94,25.3,31,20.4
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",280,24.8,27.9,22
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2017 calendar year","2017",102,16.1,19.5,13.1
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",1187,23,24.4,21.7
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",82,26,32.3,20.6
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",22,24,36.5,14.9
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",20,16.8,26,10.2
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",72,25,31.6,19.6
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",92,16.3,20,13.1
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",45,15.5,20.8,11.2
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",152,17.3,20.3,14.7
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",NA,14.6,43.2,2.7
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",NA,0,0,0
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",NA,9.8,35.4,1.1
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",64,19.2,24.5,14.7
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",109,28.8,34.8,23.6
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",394,35.1,38.7,31.7
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2018 calendar year","2018",130,20.2,24,16.9
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",1280,24.9,26.3,23.6
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",108,34.2,41.4,28
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",17,16.2,26.1,9.3
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",35,31.3,43.7,21.6
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",75,26.7,33.5,21
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",82,14.4,17.9,11.5
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",39,13.7,18.7,9.7
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",155,17.5,20.5,14.8
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",NA,3.7,20.9,0
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",NA,9.1,32.8,1
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",NA,0,0,0
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",81,23.8,29.7,18.9
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",118,31.9,38.2,26.3
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",404,35.9,39.6,32.4
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2019 calendar year","2019",163,25.6,29.9,21.8
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",1339,25.9,27.4,24.6
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",106,33.1,40.1,27
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",18,18.9,30.2,11
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",22,18.3,28,11.4
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",77,27.1,33.9,21.3
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",99,17.7,21.6,14.4
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",49,16.8,22.3,12.4
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",159,18.2,21.2,15.4
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",NA,14.7,43.2,2.9
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",NA,17.5,45,4.5
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",NA,15.4,45,3.1
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",65,19.4,24.7,14.9
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",105,29,35.1,23.6
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",444,39,42.8,35.4
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2020 calendar year","2020",185,28.9,33.4,24.9
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",1330,25.8,27.2,24.4
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",100,31.5,38.4,25.6
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",17,18.3,29.5,10.6
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",35,29.3,41.1,20.2
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",69,24.1,30.6,18.8
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",110,19.8,23.9,16.3
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",44,15.7,21.1,11.4
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",180,20.4,23.6,17.5
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",NA,6.5,36.3,0.1
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",NA,18.1,46.5,4.8
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",NA,16.5,48.3,3.3
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",70,20.9,26.4,16.3
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",89,23.8,29.4,19.1
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",427,38,41.8,34.5
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2021 calendar year","2021",181,28.1,32.5,24.1
"S00000001","Scotland","Scotland","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",1051,20.2,21.5,19
"S08000015","Health board","NHS Ayrshire & Arran","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",82,25.5,31.7,20.2
"S08000016","Health board","NHS Borders","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",13,12.7,22,6.6
"S08000017","Health board","NHS Dumfries & Galloway","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",37,31.5,43.6,22
"S08000019","Health board","NHS Forth Valley","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",47,16.7,22.2,12.2
"S08000020","Health board","NHS Grampian","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",75,13.3,16.6,10.4
"S08000022","Health board","NHS Highland","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",55,18.9,24.7,14.2
"S08000024","Health board","NHS Lothian","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",166,18.9,22,16.1
"S08000025","Health board","NHS Orkney","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",NA,5.1,28.4,0.1
"S08000026","Health board","NHS Shetland","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",NA,14.5,42.5,2.9
"S08000028","Health board","NHS Western Isles","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",NA,5,28,0.1
"S08000029","Health board","NHS Fife","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",59,17.3,22.4,13.2
"S08000030","Health board","NHS Tayside","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",77,20.8,26.1,16.4
"S08000031","Health board","NHS Greater Glasgow & Clyde","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",300,26.4,29.6,23.5
"S08000032","Health board","NHS Lanarkshire","Drug-related deaths","Age-sex standardised rate per 100,000","2022 calendar year","2022",135,21,24.9,17.6
